Zeile,Name,Typ,Kard,Bedeutung (Quelle),"Beispiel/e
Wertebereich / Anzahl Stellen",MVP,,,,,,,,,,,,,,,,,,,
User,,,,,,,,,,,,,,,,,,,,,,,,,
User,userid,uuid,1,,"550e8400-e29b-41d4-a716-446655440000
36 Stellen",1,,,,,,,,,,,,,,,,,,,
User,created,string (datetime),1,wann wurde der User erstellt Gutachtermitarbeiter,yyyy-mm-ddTHH:M M:SSZ,1,,,,,,,,,,,,,,,,,,,
User,lastLogin,LastLogin,?,,,,,,,,,,,,,,,,,,,,,,
User,gesperrtSeit,string (datetime),?,Wann wurde der User gesperrt?,yyyy-mm-ddTHH:M M:SSZ,1,,,,,,,,,,,,,,,,,,,
User,rollen,string,+,"(Gutachter, Gutachtermitarbeiter, Admin, ... )",,1,,,,,,,,,,,,,,,,,,,
User,status,string (enum),1,"z.b. active, locked, unverified ...",,1,,,,,,,,,,,,,,,,,,,
User,settings,UserSetting,+,Verweis,,,,,,,,,,,,,,,,,,,,,
User,avatar,binary,?,Profilbild,,,,,,,,,,,,,,,,,,,,,
Gutachter,,,,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Gutachter,userId,uuid,1,,"550e8400-e29b-41d4-a716-446655440000
36 Stellen",1,,,,,,,,,,,,,,,,,,,
Gutachter,created,string (datetime),1,wann wurde der User in rvGutachten erstellt,yyyy-mm-ddTHH:M M:SSZ,1,,,,,,,,,,,,,,,,,,,
Gutachter,lastLogin,LastLogin,?,,,1,,,,,,,,,,,,,,,,,,,
Gutachter,gesperrtSeit,string (datetime),?,Wann wurde der User gesperrt?,yyyy-mm-ddTHH:M M:SSZ,1,,,,,,,,,,,,,,,,,,,
Gutachter,rollen,string,+,"(Gutachter, Gutachtermitarbeiter, Admin, ... )",,1,,,,,,,,,,,,,,,,,,,
Gutachter,status,string (enum),1,"z.b. active, locked, unverified ...",,1,,,,,,,,,,,,,,,,,,,
Gutachter,settings,UserSetting,+,Verweis,,,,,,,,,,,,,,,,,,,,,
Gutachter,avatar,binary,?,,,,,,,,,,,,,,,,,,,,,,
Gutachter,mitarbeiter,Mitarbeiter,*,Liste der Mitarbeiter des Gutachters,,1,,,,,,,,,,,,,,,,,,,
Gutachter,anrede,string,1,Anrede des Gutachters (Quelle? eLogin: ist in Version 3.8 nicht mehr enthalten),Frau / Herr,1,,,,,,,,,,,,,,,,,,,
Gutachter,titel,string,?,Titel des Gutachters (Quelle: Kann in eLogin),Dr./Graf/Prof.,1,,,,,,,,,,,,,,,,,,,
Gutachter,nachname,string,1,Nachname des Gutachters (Pflicht in eLogin) (Quelle: Pflicht in eLogin),"Günther-Bartholow
max. 50 Zeichen",1,,,,,,,,,,,,,,,,,,,
Gutachter,vorname,string,1,Vorname des Gutachters (Pflicht in eLogin) (Quelle: Pflicht eLogin),"Gerd
max. 50 Zeichen",1,,,,,,,,,,,,,,,,,,,
Gutachter,namenszusatz,string,?,Namenszusatz des Gutachters (Quelle: Kann in eLogin),"zu / von
max. 25 Zeichen",1,,,,,,,,,,,,,,,,,,,
Gutachter,kontakte,Kontakt,+,Pflicht eLogin: eMail und Telefonnummer,,1,,,,,,,,,,,,,,,,,,,
Gutachter,fachrichtung,string,+,,,1,,,,,,,,,,,,,,,,,,,
Gutachter,geburtsdatum,date,?,Geburtsdatum des Gutachters (Pflicht in eLogin: dd.mm.yyyy: ist ab Januar '26 nicht mehr enthalten),"01.04.1948
yyyy-mm-dd",1,,,,,,,,,,,,,,,,,,,
Gutachter,adresse,Adresse,+,"Pflicht eLogin: PLZ, Ort, Land (Quelle: rvSMD)",,1,,,,,,,,,,,,,,,,,,,
Gutachter,efn,number(15),1,"einheitliche Fortbildungsnummer (Quelle: rvSMD); Diese Nummer ist personenbezogen, lebenslang gültig und identifiziert eindeutig die Person.","802760802176345
15 Ziffern",1,,,,,,,,,,,,,,,,,,,
Gutachter,verfügbarkeit,Verfügbarkeit,*,"Verweis Anmerkung: für spätere Ausbaustufe, so dass der Gutachter die Info in rvGutachten pflegen kann",,,,,,,,,,,,,,,,,,,,,
Gutachter,zuordnung,RvSmdId,+,Zuordnung zu den Trägern,,1,,,,,,,,,,,,,,,,,,,
Mitarbeiter,,,,Mitarbeiter des Gutachters,,,,,,,,,,,,,,,,,,,,,
Mitarbeiter,userid,uuid,1,,"550e8400-e29b-41d4-a716-446655440000
36 Stellen",1,,,,,,,,,,,,,,,,,,,
Mitarbeiter,created,string (datetime),1,wann wurde der User erstellt Gutachtermitarbeiter,yyyy-mm-ddTHH:M M:SSZ,1,,,,,,,,,,,,,,,,,,,
Mitarbeiter,lastLogin,LastLogin,?,,,,,,,,,,,,,,,,,,,,,,
Mitarbeiter,gesperrtSeit,string (datetime),?,Wann wurde der User gesperrt?,yyyy-mm-ddTHH:M M:SSZ,1,,,,,,,,,,,,,,,,,,,
Mitarbeiter,rollen,string,+,"(Gutachter, Gutachtermitarbeiter, Admin, ... )",,1,,,,,,,,,,,,,,,,,,,
Mitarbeiter,status,string (enum),1,"z.b. active, locked, unverified ...",,1,,,,,,,,,,,,,,,,,,,
